,CustomerID,PreferredLoginDevice,PreferredPaymentMode,Gender,PreferedOrderCat,MaritalStatus,Tenure_grp,Churned,city_type,Satisfaction,WarehouseToHome,HourSpendOnApp,NumberOfDeviceRegistered,NumberOfAddress,OrderAmountHikeFromlastYear,CouponUsed,OrderCount,DaySinceLastOrder,CashbackAmount
0,50001,Mobile Phone,Debit Card,Female,Laptop & Accessory,Single,Tenure_0-12,Yes,Rural,Low,6.0,3.0,3,9,11.0,1.0,1.0,5.0,159.93
1,50002,Phone,UPI,Male,Mobile,Single,Tenure_0-12,Yes,City,Average,8.0,3.0,4,7,15.0,0.0,1.0,0.0,120.9
2,50003,Phone,Debit Card,Male,Mobile,Single,Tenure_0-12,Yes,City,Average,30.0,2.0,4,6,14.0,0.0,1.0,3.0,120.28
3,50004,Phone,Debit Card,Male,Laptop & Accessory,Single,Tenure_0-12,Yes,Rural,Very High,15.0,2.0,4,8,23.0,0.0,1.0,3.0,134.07
4,50005,Phone,CC,Male,Mobile,Single,Tenure_0-12,Yes,City,Very High,12.0,0.0,3,3,11.0,1.0,1.0,3.0,129.6
5,50006,Computer,Debit Card,Female,Mobile Phone,Single,Tenure_0-12,Yes,City,Very High,22.0,3.0,5,2,22.0,4.0,6.0,7.0,139.19
6,50007,Phone,Cash on Delivery,Male,Laptop & Accessory,Divorced,Tenure_0-12,Yes,Rural,Low,11.0,2.0,3,4,14.0,0.0,1.0,0.0,120.86000000000001
7,50008,Phone,CC,Male,Mobile,Divorced,Tenure_0-12,Yes,City,Low,6.0,3.0,3,3,16.0,2.0,2.0,0.0,122.93
8,50009,Phone,E wallet,Male,Mobile,Divorced,Tenure_12-24,Yes,Rural,Average,9.0,0.0,4,2,14.0,0.0,1.0,2.0,126.83000000000001
9,50010,Phone,Debit Card,Male,Mobile,Single,Tenure_0-12,Yes,City,Average,31.0,2.0,5,2,12.0,1.0,1.0,1.0,122.93
10,50011,Mobile Phone,Cash on Delivery,Female,Others,Divorced,Tenure_0-12,Yes,City,Average,18.0,2.0,3,2,0.0,9.0,15.0,8.0,295.45
11,50012,Mobile Phone,Debit Card,Male,Fashion,Single,Tenure_0-12,Yes,City,Average,6.0,3.0,4,10,13.0,0.0,1.0,0.0,153.81
12,50013,Phone,COD,Male,Mobile,Single,Tenure_0-12,Yes,City,Average,11.0,2.0,3,2,13.0,2.0,2.0,2.0,134.41
13,50014,Phone,CC,Male,Mobile,Divorced,Tenure_0-12,Yes,City,Average,15.0,3.0,4,1,17.0,0.0,1.0,0.0,133.88
14,50015,Mobile Phone,Credit Card,Male,Fashion,Single,Tenure_0-12,Yes,Rural,Low,15.0,3.0,4,2,16.0,0.0,4.0,7.0,196.19
15,50016,Phone,UPI,Male,Mobile,Married,Tenure_0-12,Yes,Semi_urban,Very High,12.0,3.0,3,5,22.0,1.0,1.0,2.0,120.72999999999999
16,50017,Computer,Debit Card,Female,Mobile,Single,Tenure_0-12,Yes,City,Low,12.0,0.0,4,2,18.0,1.0,1.0,0.0,129.26
17,50018,Mobile Phone,E wallet,Male,Laptop & Accessory,Single,Tenure_0-12,Yes,Rural,Average,11.0,2.0,4,2,11.0,1.0,1.0,3.0,157.44
18,50019,Computer,Debit Card,Male,Laptop & Accessory,Single,Tenure_0-12,Yes,City,Average,13.0,3.0,5,2,24.0,1.0,1.0,6.0,160.74
19,50020,Mobile Phone,Debit Card,Female,Mobile Phone,Divorced,Tenure_12-24,Yes,City,High,20.0,3.0,3,10,18.0,1.0,4.0,3.0,149.63
20,50021,Mobile Phone,Debit Card,Male,Laptop & Accessory,Divorced,Tenure_0-12,Yes,Rural,Average,12.0,3.0,5,5,18.0,6.0,7.0,7.0,161.72
21,50022,Mobile Phone,Credit Card,Female,Fashion,Divorced,Tenure_12-24,Yes,City,Low,29.0,3.0,3,2,12.0,11.0,15.0,6.0,203.12
22,50023,Mobile Phone,E wallet,Male,Mobile Phone,Single,Tenure_0-12,Yes,Rural,Average,28.0,2.0,3,2,19.0,0.0,1.0,0.0,116.75
23,50024,Phone,Debit Card,Female,Laptop & Accessory,Divorced,Tenure_0-12,Yes,Rural,Average,26.0,3.0,5,4,11.0,1.0,2.0,2.0,145.59
24,50025,Computer,Debit Card,Male,Fashion,Single,Tenure_12-24,Yes,City,Low,14.0,2.0,5,3,15.0,0.0,1.0,3.0,206.5
25,50026,Phone,Credit Card,Female,Mobile Phone,Single,Tenure_0-12,Yes,City,Very High,15.0,2.0,3,8,22.0,1.0,1.0,4.0,142.0
26,50027,Mobile Phone,E wallet,Male,Fashion,Divorced,Tenure_0-12,No,Rural,High,6.0,3.0,3,2,13.0,1.0,1.0,6.0,172.95
27,50028,Phone,E wallet,Male,Laptop & Accessory,Divorced,Tenure_0-12,No,Rural,Average,12.0,2.0,3,3,20.0,0.0,4.0,5.0,123.06
28,50029,Phone,Debit Card,Male,Laptop & Accessory,Married,Tenure_12-24,No,City,High,0.0,2.0,3,9,18.0,1.0,1.0,15.0,123.47999999999999
29,50030,Computer,E wallet,Female,Fashion,Single,Tenure_0-12,No,Rural,Low,14.0,2.0,3,2,14.0,2.0,3.0,7.0,189.98
30,50031,Computer,COD,Male,Laptop & Accessory,Divorced,Tenure_0-12,No,City,Average,6.0,2.0,3,2,13.0,0.0,1.0,9.0,143.19
31,50032,Mobile Phone,Credit Card,Male,Laptop & Accessory,Divorced,Tenure_0-12,No,City,Average,13.0,2.0,4,3,17.0,1.0,1.0,0.0,161.32
32,50033,Phone,CC,Female,Mobile,Divorced,Tenure_24-48,No,City,High,15.0,3.0,4,5,20.0,1.0,1.0,0.0,133.46
33,50034,Mobile Phone,E wallet,Male,Fashion,Divorced,Tenure_12-24,No,Rural,Low,10.0,3.0,4,8,11.0,2.0,2.0,11.0,208.55
34,50035,Computer,E wallet,Female,Mobile,Divorced,Tenure_0-12,No,Rural,Average,8.0,3.0,3,7,18.0,1.0,1.0,2.0,122.31
35,50036,Phone,CC,Male,Mobile,Divorced,Tenure_0-12,No,City,Low,0.0,3.0,3,2,24.0,0.0,2.0,2.0,123.22999999999999
36,50037,Computer,CC,Male,Mobile,Married,Tenure_0-12,No,City,High,15.0,2.0,3,7,18.0,0.0,2.0,2.0,120.24000000000001
37,50038,Phone,CC,Male,Mobile,Divorced,Tenure_0-12,No,City,Low,27.0,0.0,3,2,11.0,0.0,1.0,2.0,127.13
38,50039,Mobile Phone,Debit Card,Male,Fashion,Married,Tenure_24-48,No,City,Low,30.0,2.0,2,4,16.0,1.0,1.0,4.0,194.39
39,50040,Computer,CC,Male,Mobile,Married,Tenure_0-12,No,City,Average,0.0,3.0,4,2,15.0,0.0,1.0,1.0,125.66
40,50041,Mobile Phone,Debit Card,Female,Others,Single,Tenure_12-24,No,City,High,17.0,2.0,3,4,0.0,2.0,4.0,4.0,299.26
41,50042,Phone,Debit Card,Male,Mobile,Married,Tenure_12-24,No,City,Average,0.0,2.0,3,5,12.0,1.0,1.0,8.0,124.50999999999999
42,50043,Mobile Phone,Debit Card,Female,Fashion,Divorced,Tenure_0-12,No,Rural,Low,11.0,2.0,3,3,12.0,2.0,7.0,4.0,194.19
43,50044,Mobile Phone,Debit Card,Female,Laptop & Accessory,Single,Tenure_0-12,No,Rural,Low,6.0,2.0,4,5,22.0,1.0,1.0,1.0,186.86
44,50045,Phone,Debit Card,Male,Mobile,Single,Tenure_0-12,No,City,Average,12.0,0.0,3,4,20.0,0.0,1.0,4.0,130.38
45,50046,Phone,COD,Male,Mobile,Divorced,Tenure_0-12,No,City,High,23.0,0.0,3,1,16.0,1.0,1.0,1.0,130.58
46,50047,Computer,COD,Female,Mobile,Single,Tenure_0-12,Yes,Rural,Very High,0.0,3.0,5,1,21.0,1.0,1.0,0.0,123.25
47,50048,Computer,CC,Male,Mobile,Single,Tenure_0-12,No,City,High,9.0,1.0,3,5,12.0,4.0,7.0,2.0,120.88
48,50049,Computer,CC,Male,Laptop & Accessory,Married,Tenure_0-12,No,City,Very High,15.0,0.0,3,2,11.0,0.0,6.0,10.0,130.72
49,50050,Mobile Phone,Debit Card,Female,Laptop & Accessory,Married,Tenure_12-24,No,Rural,Very High,10.0,1.0,3,5,11.0,0.0,1.0,3.0,150.06
50,50051,Phone,Debit Card,Female,Mobile Phone,Married,Tenure_24-48,No,City,Very High,14.0,3.0,3,5,18.0,1.0,2.0,2.0,142.57
51,50052,Phone,Debit Card,Male,Mobile,Single,Tenure_0-12,No,City,Low,0.0,2.0,3,1,14.0,0.0,1.0,2.0,125.0
52,50053,Mobile Phone,Debit Card,Male,Mobile Phone,Single,Tenure_0-12,Yes,City,Low,8.0,2.0,4,2,22.0,0.0,1.0,0.0,111.02000000000001
53,50054,Mobile Phone,E wallet,Female,Fashion,Married,Tenure_12-24,No,Rural,Very High,6.0,3.0,3,2,25.0,4.0,15.0,7.0,204.53
54,50055,Phone,Debit Card,Female,Mobile,Single,Tenure_0-12,No,City,Low,15.0,3.0,3,2,12.0,1.0,2.0,1.0,122.88
55,50056,Phone,Credit Card,Female,Mobile Phone,Divorced,Tenure_0-12,No,City,Low,18.0,3.0,3,9,23.0,1.0,1.0,2.0,139.29
56,50057,Phone,CC,Female,Mobile,Single,Tenure_0-12,No,City,High,33.0,3.0,3,3,15.0,1.0,1.0,2.0,123.11000000000001
57,50058,Phone,E wallet,Female,Mobile,Single,Tenure_0-12,Yes,Rural,High,26.0,0.0,3,2,22.0,0.0,1.0,2.0,131.4
58,50059,Phone,Credit Card,Male,Mobile Phone,Divorced,Tenure_12-24,No,City,Average,6.0,2.0,4,3,15.0,0.0,1.0,2.0,136.9
59,50060,Phone,Credit Card,Female,Laptop & Accessory,Married,Tenure_24-48,No,City,Very High,19.0,2.0,2,2,11.0,1.0,1.0,3.0,144.5
60,50061,Phone,CC,Female,Mobile,Divorced,Tenure_0-12,No,City,High,20.0,0.0,3,2,13.0,0.0,1.0,6.0,127.56
61,50062,Mobile Phone,Credit Card,Female,Others,Divorced,Tenure_12-24,No,City,Average,10.0,2.0,3,2,14.0,0.0,9.0,9.0,290.33
